name,level,section,type,link,pages,,,
مطالعات علمية,3,علمي,1,https://www.osboha180.com/evaluation/books/250b.pdf,172,,,
المخبر الاقتصادي,3,إقتصادي,1,https://www.osboha180.com/evaluation/books/251b.pdf,266,,,
الحضارة المصرية بين الهيلينية والرومانية,1,تاريخي,1,https://www.osboha180.com/evaluation/books/252b.pdf,98,,,
قراءة في دفاتر بعض الحمير,2,أدبي,1,https://www.osboha180.com/evaluation/books/253b.pdf,216,,,
القراءة المتأنية في عصر السرعة,1,تنمية,1,https://www.osboha180.com/evaluation/books/254b.pdf,463,,,
مقدمة في علم الفلك,3,علمي,1,https://www.osboha180.com/evaluation/books/255b.pdf,335,,,
الفيزياء المسلية,2,علمي,1,https://www.osboha180.com/evaluation/books/256b.pdf,265,,,
روضة العقلاء ونزهة الفضلاء,3,أدبي,1,https://www.osboha180.com/evaluation/books/257b.pdf,292,,,
المرجع في صعوبات التعلم,2,تربية,1,https://www.osboha180.com/evaluation/books/258b.pdf,594,,,
المغالطات المنطقية,3,اجتماعي,1,https://www.osboha180.com/evaluation/books/259b.pdf,274,,,
الشكوى والعتاب وما وقع للخلان والأصحاب,3,أدبي,1,https://www.osboha180.com/evaluation/books/260b.pdf,372,,,
الفوائد,2,ديني,1,https://www.osboha180.com/evaluation/books/261b.pdf,368,,,
الاقتصاد العالمي الخفي,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/263b.pdf,366,,,
السرطان (مقدمة قصيرة جداً),2,علمي,1,https://www.osboha180.com/evaluation/books/264b.pdf,141,,,
كيف عاملهم,1,ديني,1,https://www.osboha180.com/evaluation/books/265b.pdf,802,,,
how he treated them,1,انجليزي,1,https://www.osboha180.com/evaluation/books/266b.pdf,546,,,
أبوبكر الصديق شخصبته وعصره,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/267b.pdf,314,,,
أبوبكر الصديق خليفة الرسول صلى الله عليه وسلم,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/268b.pdf,767,,,
فخ العولمة,2,فكري,1,https://www.osboha180.com/evaluation/books/270b.pdf,375,,,
تاريخ تركيا,2,تاريخي,1,https://www.osboha180.com/evaluation/books/271b.pdf,111,,,
أمريكا والإبادات الجماعية,3,تاريخي,1,https://www.osboha180.com/evaluation/books/272b.pdf,201,,,
نباتاً حسناً,1,تربية,1,https://www.osboha180.com/evaluation/books/273b.pdf,154,,,
الأطفال المزعجون,1,تربية,1,https://www.osboha180.com/evaluation/books/274b.pdf,279,,,
التخطيط للتقدم الاقتصادي والاجتماعي,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/275b.pdf,356,,,
انهيار العولمة,3,إقتصادي,1,https://www.osboha180.com/evaluation/books/276b.pdf,203,,,
الملك النجار,1,أدبي,3,https://www.osboha180.com/evaluation/books/279b.pdf,25,,,
أليس في بلاد العجائب,1,أدبي,3,https://archive.org/download/20191106_20191106_2046/%D8%A7%D9%84%D9%8A%D8%B3%20%D9%81%D9%8A%20%D8%A8%D9%84%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B9%D8%AC%D8%A7%D8%A6%D8%A8.pdf,144,,,
أجمل عشر تجارب على الإطلاق,1,علمي,1,https://www.osboha180.com/evaluation/books/285b.pdf,260,,,
الذكاء الاصطناعي,3,علمي,1,https://www.osboha180.com/evaluation/books/286b.pdf,215,,,
تاريخ الجزائر في القديم والحديث ( الجزء الأول ),3,تاريخي,1,https://www.osboha180.com/evaluation/books/287b.pdf,382,,,
تاريخ الجزائر في القديم والحديث ( الجزء الثاني ),3,تاريخي,1,https://www.osboha180.com/evaluation/books/288b.pdf,520,,,
تاريخ الجزائر في القديم والحديث ( الجزء الثالث ),3,تاريخي,1,https://www.osboha180.com/evaluation/books/744b.pdf,334,,,
تاريخ الشرق الأدنى القديم,2,تاريخي,1,https://www.osboha180.com/evaluation/books/290b.pdf,222,,,
منهج كتابة التاريخ الإسلامي كيف و لماذا,1,تاريخي,1,https://www.osboha180.com/evaluation/books/291b.pdf,270,,,
فصل الخطاب في سيرة ابن الخطاب,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/292b.pdf,703,,,
قواعد قرآنية,1,ديني,4,https://www.osboha180.com/evaluation/books/293b.pdf,328,,,
غزوات الرسول,2,ديني,4,https://www.osboha180.com/evaluation/books/294b.pdf,367,,,
مواعظ الصحابة,2,ديني,4,https://www.osboha180.com/evaluation/books/295b.pdf,288,,,
هنيئا لمن عرف ربه \ أسماء الجلال,2,ديني,4,https://www.osboha180.com/evaluation/books/296b.pdf,304,,,
كيف تقرأ القرآن في رمضان,2,ديني,4,https://www.osboha180.com/evaluation/books/297b.pdf,104,,,
قصص الصحابة والصالحين,2,ديني,4,https://www.osboha180.com/evaluation/books/298b.pdf,360,,,
عقيدة المسلم,2,ديني,4,https://www.osboha180.com/evaluation/books/299b.pdf,256,,,
تيسير الكريم المنان في سيرة عثمان بن عفان,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/300b.pdf,480,,,
أطلس الخليفة عثمان بن عفان,1,سير الصحابة,1,https://www.osboha180.com/evaluation/books/301b.pdf,325,,,
الأسرة وصحتها النفسية,2,تربية,1,https://www.osboha180.com/evaluation/books/314b.pdf,237,,,
مقدمة في تاريخ الحضارات القديمة ( الوجيز في بلاد الرافدين ),2,تاريخي,1,https://www.osboha180.com/evaluation/books/315b.pdf,738,,,
أسمى المطالب في سيرة أمير المؤمنين علي بن ابي طالب,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/316b.pdf,1117,,,
الجمهور التسويق في عالم رقمي,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/317b.pdf,360,,,
أسرار القوة الذاتية,2,تنمية,1,https://www.osboha180.com/evaluation/books/318b.pdf,251,,,
بناء الثقة بالنفس باستخدام الكلمات المشجعة,2,تنمية,1,https://www.osboha180.com/evaluation/books/319b.pdf,202,,,
الطريق من هنا,3,اجتماعي,1,https://www.osboha180.com/evaluation/books/320b.pdf,136,,,
شكراً أيها الأعداء,2,اجتماعي,1,https://www.osboha180.com/evaluation/books/321b.pdf,345,,,
موسوعة الحسن والحسين,2,سير الصحابة,1,https://www.osboha180.com/evaluation/books/322b.pdf,366,,,
أطلس الخليفة علي بن أبي طالب,1,سير الصحابة,1,https://drive.google.com/file/d/1V6yyzWpwI7CldCZRrKr4HmWySO65Y_6M/view?usp=sharing,270,,,
المرشد الكامل للمشروعات الصغيرة,2,إقتصادي,1,https://www.osboha180.com/evaluation/books/324b.pdf,512,,,
الاقتصاد عارياً,1,إقتصادي,1,https://www.osboha180.com/evaluation/books/325b.pdf,311,,,
